#Listing of surface sag

#File : D:\Beast\Lampton\LamptonChiefRayADC_3_newAngles_240_ADC25_FP50_f36_1cr_4con.zmx
#Title: 
#Date : 10/16/2023
#Configuration 1 of 3

#Units are Millimeters.
#Slope units are dimensionless.
#Clear Semi-Diameter of surface 22:   4.084421E+02.
#Algorithm assumes +z goes from air to glass.

#Method: Minimum Volume Removal
#Best Fit Sphere Radius        : 	 -1.277364E+04
#Best Fit Sphere Vertex Offset : 	 -4.512461E-02
#Maximum Depth to Remove       : 	  4.512461E-02
#RMS of Depth to Remove        : 	  1.879436E-02
#Maximum Slope Deviation       : 	  2.902025E-03
#RMS Slope Deviation           : 	  6.594154E-04
#Volume To Remove              : 	  7.887209E+03	 cubic Millimeters

       Y-coord 	        Sag 	        BFS Sag 	        Deviation 	        Remove 	              Slope 	        BFS Slope 	       Slope Delta
  0.000000E+00 	   0.000000E+00 	  -0.000000E+00 	   0.000000E+00 	   4.512461E-02 	   1.757860E-06 	   1.598770E-06 	   1.590899E-07
  1.000000E+00 	  -4.303806E-05 	  -3.914312E-05 	  -3.894934E-06 	   4.512071E-02 	  -8.431806E-05 	  -7.668748E-05 	   7.630589E-06
  2.000000E+00 	  -1.721509E-04 	  -1.565725E-04 	  -1.557845E-05 	   4.510903E-02 	  -1.703915E-04 	  -1.549737E-04 	   1.541775E-05
  3.000000E+00 	  -3.873348E-04 	  -3.522881E-04 	  -3.504669E-05 	   4.508956E-02 	  -2.564598E-04 	  -2.332600E-04 	   2.319982E-05
  4.000000E+00 	  -6.885832E-04 	  -6.262900E-04 	  -6.229322E-05 	   4.506231E-02 	  -3.425205E-04 	  -3.115462E-04 	   3.097423E-05
  5.000000E+00 	  -1.075887E-03 	  -9.785781E-04 	  -9.730906E-05 	   4.502730E-02 	  -4.285709E-04 	  -3.898325E-04 	   3.873840E-05
  6.000000E+00 	  -1.549235E-03 	  -1.409152E-03 	  -1.400826E-04 	   4.498453E-02 	  -5.146085E-04 	  -4.681188E-04 	   4.648979E-05
  7.000000E+00 	  -2.108613E-03 	  -1.918013E-03 	  -1.905998E-04 	   4.493401E-02 	  -6.006308E-04 	  -5.464050E-04 	   5.422582E-05
  8.000000E+00 	  -2.754004E-03 	  -2.505160E-03 	  -2.488439E-04 	   4.487576E-02 	  -6.866353E-04 	  -6.246913E-04 	   6.194394E-05
  9.000000E+00 	  -3.485389E-03 	  -3.170593E-03 	  -3.147957E-04 	   4.480981E-02 	  -7.726192E-04 	  -7.029776E-04 	   6.964159E-05
  1.000000E+01 	  -4.302746E-03 	  -3.914313E-03 	  -3.884333E-04 	   4.473617E-02 	  -8.585802E-04 	  -7.812639E-04 	   7.731624E-05
  1.100000E+01 	  -5.206051E-03 	  -4.736319E-03 	  -4.697326E-04 	   4.465488E-02 	  -9.445156E-04 	  -8.595502E-04 	   8.496533E-05
  1.200000E+01 	  -6.195277E-03 	  -5.636611E-03 	  -5.586665E-04 	   4.456594E-02 	  -1.030423E-03 	  -9.378366E-04 	   9.258634E-05
  1.300000E+01 	  -7.270395E-03 	  -6.615189E-03 	  -6.552057E-04 	   4.446940E-02 	  -1.116300E-03 	  -1.016123E-03 	   1.001767E-04
  1.400000E+01 	  -8.431373E-03 	  -7.672054E-03 	  -7.593183E-04 	   4.436529E-02 	  -1.202143E-03 	  -1.094409E-03 	   1.077340E-04
  1.500000E+01 	  -9.678175E-03 	  -8.807206E-03 	  -8.709698E-04 	   4.425364E-02 	  -1.287951E-03 	  -1.172696E-03 	   1.152557E-04
  1.600000E+01 	  -1.101077E-02 	  -1.002064E-02 	  -9.901233E-04 	   4.413448E-02 	  -1.373721E-03 	  -1.250982E-03 	   1.227392E-04
  1.700000E+01 	  -1.242911E-02 	  -1.131237E-02 	  -1.116739E-03 	   4.400787E-02 	  -1.459451E-03 	  -1.329269E-03 	   1.301821E-04
  1.800000E+01 	  -1.393315E-02 	  -1.268238E-02 	  -1.250776E-03 	   4.387383E-02 	  -1.545137E-03 	  -1.407555E-03 	   1.375819E-04
  1.900000E+01 	  -1.552286E-02 	  -1.413068E-02 	  -1.392189E-03 	   4.373242E-02 	  -1.630778E-03 	  -1.485842E-03 	   1.449362E-04
  2.000000E+01 	  -1.719819E-02 	  -1.565726E-02 	  -1.540932E-03 	   4.358368E-02 	  -1.716370E-03 	  -1.564128E-03 	   1.522424E-04
  2.100000E+01 	  -1.895908E-02 	  -1.726213E-02 	  -1.696955E-03 	   4.342765E-02 	  -1.801913E-03 	  -1.642415E-03 	   1.594983E-04
  2.200000E+01 	  -2.080549E-02 	  -1.894529E-02 	  -1.860206E-03 	   4.326440E-02 	  -1.887402E-03 	  -1.720701E-03 	   1.667012E-04
  2.300000E+01 	  -2.273736E-02 	  -2.070673E-02 	  -2.030632E-03 	   4.309398E-02 	  -1.972837E-03 	  -1.798988E-03 	   1.738489E-04
  2.400000E+01 	  -2.475463E-02 	  -2.254646E-02 	  -2.208176E-03 	   4.291643E-02 	  -2.058213E-03 	  -1.877274E-03 	   1.809389E-04
  2.500000E+01 	  -2.685725E-02 	  -2.446448E-02 	  -2.392778E-03 	   4.273183E-02 	  -2.143530E-03 	  -1.955561E-03 	   1.879689E-04
  2.600000E+01 	  -2.904516E-02 	  -2.646078E-02 	  -2.584378E-03 	   4.254023E-02 	  -2.228784E-03 	  -2.033848E-03 	   1.949365E-04
  2.700000E+01 	  -3.131828E-02 	  -2.853537E-02 	  -2.782913E-03 	   4.234169E-02 	  -2.313974E-03 	  -2.112135E-03 	   2.018394E-04
  2.800000E+01 	  -3.367656E-02 	  -3.068824E-02 	  -2.988315E-03 	   4.213629E-02 	  -2.399097E-03 	  -2.190421E-03 	   2.086752E-04
  2.900000E+01 	  -3.611993E-02 	  -3.291941E-02 	  -3.200518E-03 	   4.192409E-02 	  -2.484150E-03 	  -2.268708E-03 	   2.154417E-04
  3.000000E+01 	  -3.864831E-02 	  -3.522886E-02 	  -3.419450E-03 	   4.170516E-02 	  -2.569131E-03 	  -2.346995E-03 	   2.221364E-04
  3.100000E+01 	  -4.126163E-02 	  -3.761660E-02 	  -3.645038E-03 	   4.147957E-02 	  -2.654039E-03 	  -2.425282E-03 	   2.287573E-04
  3.200000E+01 	  -4.395983E-02 	  -4.008262E-02 	  -3.877208E-03 	   4.124740E-02 	  -2.738871E-03 	  -2.503569E-03 	   2.353021E-04
  3.300000E+01 	  -4.674281E-02 	  -4.262693E-02 	  -4.115882E-03 	   4.100873E-02 	  -2.823624E-03 	  -2.581856E-03 	   2.417684E-04
  3.400000E+01 	  -4.961051E-02 	  -4.524953E-02 	  -4.360980E-03 	   4.076363E-02 	  -2.908297E-03 	  -2.660143E-03 	   2.481542E-04
