#Date: 2025.01.22;;;;;;;
R;Z;CRD;;;Type;Parameter;Unit
0;0.00E+00;0;;;cs;8.54796E-05;1/mm
5.88460;1.48E-03;0.005295669;;;ks;0;
11.7693;5.92E-03;0.009443984;;;A2;0;1/mm
17.654;1.33E-02;0.013795003;;;A4;3.77E-11;1/mm^3
23.5388;2.37E-02;0.018171547;;;A6;-5.87E-17;1/mm^5
29.4237;3.70E-02;0.022522457;;;Semi-Diameter;594.653;mm
35.3087;5.33E-02;0.026821463;;;Working F#;3.71798;
41.1939;7.26E-02;0.031049837;;;Effective focal length;24088.5;mm
47.0792;9.49E-02;0.035191791;;;Image scale;116.784;?m/?
52.9648;1.20E-01;0.03923296;;;;8.563;?/mm
58.8506;1.48E-01;0.043159729;;;;;
64.7366;1.80E-01;0.046958966;;;;;
70.6229;2.14E-01;0.050617933;;;;;
76.5095;2.51E-01;0.054124163;;;;;
82.3965;2.92E-01;0.057465456;;;;;
88.2838;3.35E-01;0.060629874;;;;;
94.1715;3.82E-01;0.063605726;;;;;
100.0596;4.32E-01;0.06638157;;;;;
105.9482;4.84E-01;0.068946231;;;;;
111.8371;5.40E-01;0.071288801;;;;;
117.7266;5.99E-01;0.07339868;;;;;
123.6166;6.62E-01;0.075265543;;;;;
129.507;7.27E-01;0.07687938;;;;;
135.3981;7.96E-01;0.078230519;;;;;
141.2897;8.68E-01;0.07930962;;;;;
147.1818;9.43E-01;0.080107694;;;;;
153.0747;1.02E+00;0.080616139;;;;;
158.9681;1.10E+00;0.08082673;;;;;
164.8622;1.19E+00;0.080731641;;;;;
170.757;1.28E+00;0.080323471;;;;;
176.6524;1.37E+00;0.079595249;;;;;
182.5486;1.46E+00;0.078540456;;;;;
188.4456;1.56E+00;0.077153043;;;;;
194.3433;1.66E+00;0.075427441;;;;;
200.2418;1.77E+00;0.073358583;;;;;
206.1411;1.88E+00;0.070941949;;;;;
212.0412;1.99E+00;0.068173521;;;;;
217.9421;2.11E+00;0.06504987;;;;;
223.8439;2.23E+00;0.061568143;;;;;
229.7466;2.35E+00;0.057726123;;;;;
235.6502;2.48E+00;0.053522243;;;;;
241.5547;2.61E+00;0.048955687;;;;;
247.4601;2.75E+00;0.044026479;;;;;
253.3665;2.88E+00;0.038735736;;;;;
259.2738;3.03E+00;0.033086211;;;;;
265.1821;3.17E+00;0.027084099;;;;;
271.0914;3.32E+00;0.020746721;;;;;
277.0017;3.48E+00;0.014192593;;;;;
282.9131;3.63E+00;0.007441239;;;;;
288.8255;3.79E+00;0.000423591;;;;;
294.7389;3.96E+00;-0.006413427;;;;;
300.6535;4.13E+00;-0.01685062;;;;;
306.5691;4.30E+00;-0.025229454;;;;;
312.4858;4.48E+00;-0.033980557;;;;;
318.4036;4.66E+00;-0.043063989;;;;;
324.3225;4.85E+00;-0.052462166;;;;;
330.2426;5.03E+00;-0.062161869;;;;;
336.1639;5.23E+00;-0.07215074;;;;;
342.0863;5.42E+00;-0.082416257;;;;;
348.0099;5.63E+00;-0.09294534;;;;;
353.9346;5.83E+00;-0.10372417;;;;;
359.8606;6.04E+00;-0.114738096;;;;;
365.7878;6.25E+00;-0.125971576;;;;;
371.7162;6.47E+00;-0.137408136;;;;;
377.6459;6.69E+00;-0.149030329;;;;;
383.5768;6.92E+00;-0.160819733;;;;;
389.5089;7.15E+00;-0.17275691;;;;;
395.4424;7.38E+00;-0.184821387;;;;;
401.3771;7.62E+00;-0.196991647;;;;;
407.3131;7.86E+00;-0.2092451;;;;;
413.2504;8.11E+00;-0.221558067;;;;;
419.189;8.36E+00;-0.233905763;;;;;
425.129;8.61E+00;-0.246262277;;;;;
431.0703;8.87E+00;-0.258600569;;;;;
437.013;9.13E+00;-0.270892434;;;;;
442.957;9.40E+00;-0.283108473;;;;;
448.9024;9.67E+00;-0.29521812;;;;;
454.8492;9.94E+00;-0.30718959;;;;;
460.7974;1.02E+01;-0.318989841;;;;;
466.747;1.05E+01;-0.330584617;;;;;
472.698;1.08E+01;-0.34193839;;;;;
478.6505;1.11E+01;-0.35301433;;;;;
484.6044;1.14E+01;-0.363774317;;;;;
490.5598;1.17E+01;-0.374178913;;;;;
496.5167;1.20E+01;-0.384187331;;;;;
502.4751;1.23E+01;-0.39375743;;;;;
508.435;1.26E+01;-0.402845687;;;;;
514.3965;1.29E+01;-0.411407179;;;;;
520.3595;1.32E+01;-0.419395573;;;;;
526.3241;1.35E+01;-0.426763084;;;;;
532.2903;1.38E+01;-0.433460474;;;;;
538.2581;1.41E+01;-0.439437024;;;;;
544.2275;1.44E+01;-0.44464051;;;;;
550.1986;1.48E+01;-0.449017176;;;;;
556.1714;1.51E+01;-0.452511731;;;;;
562.146;1.54E+01;-0.4550673;;;;;
568.1222;1.58E+01;-0.456625423;;;;;
574.1003;1.61E+01;-0.457126001;;;;;
580.0801;1.64E+01;-0.45650731;;;;;
586.0618;1.68E+01;-0.454705929;;;;;
592.0453;1.71E+01;-0.45165676;;;;;
