R;Z;BFS_Sag;CRD;Slope;BFS_Slope;Slope_Delta;One_fiber_coverage;delta_z1
-590;-16.0515 ;-15.8447 ;-0.2069 ;-0.0569 ;-0.0537 ;0.0032 ;-17.4901 ;-1.4386 
-589;-15.9947 ;-15.7910 ;-0.2037 ;-0.0568 ;-0.0537 ;0.0031 ;-17.4336 ;-1.4389 
-588;-15.9379 ;-15.7373 ;-0.2006 ;-0.0567 ;-0.0536 ;0.0031 ;-17.3771 ;-1.4391 
-587;-15.8813 ;-15.6838 ;-0.1975 ;-0.0566 ;-0.0535 ;0.0031 ;-17.3206 ;-1.4392 
-586;-15.8248 ;-15.6304 ;-0.1944 ;-0.0565 ;-0.0534 ;0.0031 ;-17.2640 ;-1.4393 
-585;-15.7684 ;-15.5771 ;-0.1913 ;-0.0563 ;-0.0533 ;0.0031 ;-17.2075 ;-1.4391 
-584;-15.7121 ;-15.5238 ;-0.1883 ;-0.0562 ;-0.0532 ;0.0030 ;-17.1510 ;-1.4389 
-583;-15.6559 ;-15.4707 ;-0.1853 ;-0.0561 ;-0.0531 ;0.0030 ;-17.0945 ;-1.4386 
-582;-15.5999 ;-15.4176 ;-0.1823 ;-0.0560 ;-0.0530 ;0.0030 ;-16.9618 ;-1.3620 
-581;-15.5439 ;-15.3646 ;-0.1793 ;-0.0559 ;-0.0529 ;0.0030 ;-16.9062 ;-1.3623 
-580;-15.4881 ;-15.3117 ;-0.1763 ;-0.0558 ;-0.0528 ;0.0029 ;-16.8506 ;-1.3625 
-579;-15.4324 ;-15.2589 ;-0.1734 ;-0.0557 ;-0.0527 ;0.0029 ;-16.7950 ;-1.3627 
-578;-15.3768 ;-15.2062 ;-0.1705 ;-0.0556 ;-0.0527 ;0.0029 ;-16.7394 ;-1.3626 
-577;-15.3213 ;-15.1536 ;-0.1676 ;-0.0554 ;-0.0526 ;0.0029 ;-16.6838 ;-1.3625 
-576;-15.2659 ;-15.1011 ;-0.1647 ;-0.0553 ;-0.0525 ;0.0029 ;-16.6282 ;-1.3623 
-575;-15.2106 ;-15.0487 ;-0.1619 ;-0.0552 ;-0.0524 ;0.0028 ;-16.5726 ;-1.3620 
-574;-15.1554 ;-14.9964 ;-0.1591 ;-0.0551 ;-0.0523 ;0.0028 ;-16.4425 ;-1.2871 
-573;-15.1004 ;-14.9441 ;-0.1563 ;-0.0550 ;-0.0522 ;0.0028 ;-16.3878 ;-1.2874 
-572;-15.0454 ;-14.8920 ;-0.1535 ;-0.0549 ;-0.0521 ;0.0028 ;-16.3330 ;-1.2876 
-571;-14.9906 ;-14.8399 ;-0.1507 ;-0.0548 ;-0.0520 ;0.0028 ;-16.2783 ;-1.2877 
