robot_number;x [mm];y [mm];geometry
0;-612.3846097322776;-92.79966794669222;POINT (-612.3846097322776 -92.79966794669222)
1;-612.3846097322776;239.28332129203625;POINT (-612.3846097322776 239.28332129203625)
2;-612.3846097165789;74.24179661571033;POINT (-612.3846097165789 74.24179661571033)
3;-612.3846096908266;-74.24174730968213;POINT (-612.3846096908266 -74.24174730968213)
4;-612.3846096751279;-239.28327198600806;POINT (-612.3846096751279 -239.28327198600806)
5;-612.3846096751279;92.79971725272043;POINT (-612.3846096751279 92.79971725272043)
6;-609.2846097322775;-98.16866794669222;POINT (-609.2846097322775 -98.16866794669222)
7;-609.2846097322775;-87.43066794669222;POINT (-609.2846097322775 -87.43066794669222)
8;-609.2846097322775;233.91432129203625;POINT (-609.2846097322775 233.91432129203625)
9;-609.2846097322775;244.65232129203625;POINT (-609.2846097322775 244.65232129203625)
10;-609.2846097165789;68.87279661571033;POINT (-609.2846097165789 68.87279661571033)
11;-609.2846097165789;79.61079661571033;POINT (-609.2846097165789 79.61079661571033)
12;-609.2846096908265;-79.61074730968213;POINT (-609.2846096908265 -79.61074730968213)
13;-609.2846096908265;-68.87274730968213;POINT (-609.2846096908265 -68.87274730968213)
14;-609.2846096751279;-244.65227198600806;POINT (-609.2846096751279 -244.65227198600806)
15;-609.2846096751279;-233.91427198600806;POINT (-609.2846096751279 -233.91427198600806)
16;-609.2846096751279;87.43071725272043;POINT (-609.2846096751279 87.43071725272043)
17;-609.2846096751279;98.16871725272043;POINT (-609.2846096751279 98.16871725272043)
18;-606.1846097322775;-103.53766794669222;POINT (-606.1846097322775 -103.53766794669222)
19;-606.1846097322775;-92.79966794669222;POINT (-606.1846097322775 -92.79966794669222)
20;-606.1846097322775;228.54532129203625;POINT (-606.1846097322775 228.54532129203625)
21;-606.1846097322775;239.28332129203625;POINT (-606.1846097322775 239.28332129203625)
22;-606.1846097165788;63.50379661571033;POINT (-606.1846097165788 63.50379661571033)
23;-606.1846097165788;74.24179661571033;POINT (-606.1846097165788 74.24179661571033)
24;-606.1846096908265;-74.24174730968213;POINT (-606.1846096908265 -74.24174730968213)
25;-606.1846096908265;-63.50374730968212;POINT (-606.1846096908265 -63.50374730968212)
26;-606.1846096751278;-239.28327198600806;POINT (-606.1846096751278 -239.28327198600806)
27;-606.1846096751278;-228.54527198600806;POINT (-606.1846096751278 -228.54527198600806)
28;-606.1846096751278;92.79971725272043;POINT (-606.1846096751278 92.79971725272043)
29;-606.1846096751278;103.53771725272043;POINT (-606.1846096751278 103.53771725272043)
30;-603.0846097322775;-108.90666794669222;POINT (-603.0846097322775 -108.90666794669222)
31;-603.0846097322775;-98.16866794669222;POINT (-603.0846097322775 -98.16866794669222)
32;-603.0846097322775;-87.43066794669222;POINT (-603.0846097322775 -87.43066794669222)
33;-603.0846097322775;223.17632129203625;POINT (-603.0846097322775 223.17632129203625)
34;-603.0846097322775;233.91432129203625;POINT (-603.0846097322775 233.91432129203625)
35;-603.0846097322775;244.65232129203625;POINT (-603.0846097322775 244.65232129203625)
36;-603.0846097165789;58.13479661571033;POINT (-603.0846097165789 58.13479661571033)
37;-603.0846097165789;68.87279661571033;POINT (-603.0846097165789 68.87279661571033)
38;-603.0846097165789;79.61079661571033;POINT (-603.0846097165789 79.61079661571033)
39;-603.0846096908265;-79.61074730968213;POINT (-603.0846096908265 -79.61074730968213)
