x[mm] y[mm] z[mm]
201.849 116.537 -11633.265
152.304 145.151 -11633.698
201.856 59.324 -11633.698
251.371 145.129 -11631.979
100.939 58.278 -11635.016
150.492 29.664 -11634.589
100.936 115.498 -11634.589
51.384 29.666 -11635.449
302.636 291.212 -11628.018
253.118 319.819 -11628.449
302.670 234.048 -11629.308
352.099 319.748 -11625.875
201.818 233.040 -11631.515
251.352 204.428 -11631.088
201.796 290.215 -11630.230
152.292 204.459 -11632.807
353.734 494.181 -11619.718
403.286 408.517 -11621.431
302.545 407.574 -11624.523
352.045 378.974 -11624.097
302.490 464.661 -11622.383
253.079 379.058 -11626.670
403.515 116.485 -11628.018
354.026 145.096 -11629.308
403.530 59.297 -11628.449
452.959 145.053 -11625.875
302.727 58.260 -11631.515
352.231 29.653 -11630.230
302.716 115.463 -11631.088
253.212 29.660 -11632.807
504.091 291.037 -11621.032
454.643 319.650 -11622.320
504.146 233.907 -11622.320
553.446 319.532 -11618.037
403.454 232.935 -11626.270
452.925 204.321 -11624.986
403.410 290.084 -11624.986
353.999 204.381 -11628.418
454.573 378.858 -11620.543
604.818 116.397 -11619.287
555.430 144.998 -11621.431
604.840 59.252 -11619.718
504.242 58.225 -11624.523
553.653 29.633 -11622.383
504.224 115.393 -11624.097
454.813 29.644 -11626.670
555.387 204.243 -11620.543
