x[mm] y[mm] z[mm]
191.613 110.628 -11043.384
144.581 137.791 -11043.794
191.621 56.316 -11043.794
238.625 137.770 -11042.163
95.821 55.322 -11045.046
142.861 28.160 -11044.640
95.818 109.641 -11044.640
48.778 28.162 -11045.456
287.291 276.445 -11038.402
240.283 303.602 -11038.812
287.322 222.180 -11039.627
334.246 303.535 -11036.368
191.585 221.223 -11041.722
238.607 194.063 -11041.317
191.563 275.499 -11040.502
144.570 194.091 -11042.948
335.798 469.123 -11030.523
382.837 387.803 -11032.150
287.204 386.907 -11035.085
334.195 359.757 -11034.680
287.151 441.100 -11033.053
240.246 359.837 -11037.123
383.054 110.578 -11038.402
336.075 137.739 -11039.627
383.068 56.290 -11038.812
429.992 137.698 -11036.368
287.377 55.306 -11041.722
334.371 28.149 -11040.502
287.366 109.608 -11041.317
240.373 28.156 -11042.948
478.530 276.279 -11031.770
431.589 303.442 -11032.993
478.583 222.047 -11032.993
525.383 303.330 -11028.928
382.997 221.123 -11036.743
429.959 193.961 -11035.524
382.954 275.375 -11035.524
336.049 194.018 -11038.782
431.523 359.647 -11031.306
574.150 110.495 -11030.114
527.266 137.645 -11032.150
574.171 56.248 -11030.523
478.674 55.273 -11035.085
525.579 28.130 -11033.053
478.656 109.542 -11034.680
431.751 28.141 -11037.123
527.225 193.887 -11031.306
