x[mm] y[mm] z[mm]
191.613 110.628 2.216
144.581 137.791 1.806
191.621 56.316 1.806
238.625 137.770 3.437
95.821 55.322 0.554
142.861 28.160 0.960
95.818 109.641 0.960
48.778 28.162 0.144
287.291 276.445 7.198
240.283 303.602 6.788
287.322 222.180 5.973
334.246 303.535 9.232
191.585 221.223 3.878
238.607 194.063 4.283
191.563 275.499 5.098
144.570 194.091 2.652
335.798 469.123 15.077
382.837 387.803 13.450
287.204 386.907 10.515
334.195 359.757 10.920
287.151 441.100 12.547
240.246 359.837 8.477
383.054 110.578 7.198
336.075 137.739 5.973
383.068 56.290 6.788
429.992 137.698 9.232
287.377 55.306 3.878
334.371 28.149 5.098
287.366 109.608 4.283
240.373 28.156 2.652
478.530 276.279 13.830
431.589 303.442 12.607
478.583 222.047 12.607
525.383 303.330 16.672
382.997 221.123 8.857
429.959 193.961 10.076
382.954 275.375 10.076
336.049 194.018 6.818
431.523 359.647 14.294
574.150 110.495 15.486
527.266 137.645 13.450
574.171 56.248 15.077
478.674 55.273 10.515
525.579 28.130 12.547
478.656 109.542 10.920
431.751 28.141 8.477
527.225 193.887 14.294
201.849 116.537 -587.665
152.304 145.151 -588.098
201.856 59.324 -588.098
251.371 145.129 -586.379
100.939 58.278 -589.416
150.492 29.664 -588.989
100.936 115.498 -588.989
51.384 29.666 -589.849
302.636 291.212 -582.418
253.118 319.819 -582.849
302.670 234.048 -583.708
352.099 319.748 -580.275
201.818 233.040 -585.915
251.352 204.428 -585.488
201.796 290.215 -584.630
152.292 204.459 -587.207
353.734 494.181 -574.118
403.286 408.517 -575.831
302.545 407.574 -578.923
352.045 378.974 -578.497
302.490 464.661 -576.783
253.079 379.058 -581.070
403.515 116.485 -582.418
354.026 145.096 -583.708
403.530 59.297 -582.849
452.959 145.053 -580.275
302.727 58.260 -585.915
352.231 29.653 -584.630
302.716 115.463 -585.488
253.212 29.660 -587.207
504.091 291.037 -575.432
454.643 319.650 -576.720
504.146 233.907 -576.720
553.446 319.532 -572.437
403.454 232.935 -580.670
452.925 204.321 -579.386
403.410 290.084 -579.386
353.999 204.381 -582.818
454.573 378.858 -574.943
604.818 116.397 -573.687
555.430 144.998 -575.831
604.840 59.252 -574.118
504.242 58.225 -578.923
553.653 29.633 -576.783
504.224 115.393 -578.497
454.813 29.644 -581.070
555.387 204.243 -574.943
